id,l_id,Building,Address,Apt,AptSize,Bathrooms,MaxOccupants,Sqft,NumberConnect,5/27/11,6/27/11,8/2/11,8/30/11,9/29/11,10/27/11,11/28/11,1/26/12,3/6/12,4/3/12,4/16/12,5/1/12,5/8/12,5/22/12,6/5/12,6/19/12,7/3/12,7/17/12,7/31/12,8/14/12,8/28/12,9/11/12,9/25/12,10/11/12,10/25/12,11/15/12,12/6/12,2/21/13,3/14/13,4/4/13,4/18/13,5/2/13,5/16/13,5/30/13,6/13/13,7/1/13,7/15/13,7/29/13,8/12/13,8/26/13,9/16/13,9/27/13,10/11/13,10/25/13,11/8/13,11/22/13,12/6/13
3100101,,Sawtelle,3100,101,3,2,6,,2,75951,"76,206","76,528",76818,77089,77337,77585,78242,78621,78897,79012,79161,79221,79323,79456,79567,79726,79848,79990,80104,80297,80482,80649,80826,80968,81162,81345,82295,82502,82665,82783,82884,82907,83109,83213,83323,83424,83561,83677,83821,84087,84190,84338,84483,,84733,84890
3100102,,Sawtelle,3100,102,2,2,4,,2,66261,"66,818","67,426",67744,68069,68464,69004,69961,70211,70403,70519,70628,70673,70745,70852,70943,71038,71129,71216,71347,71484,71580,71736,71841,71933,72068,72196,72721,72823,72923,73004,73078,73157,73248,73336,73426,73533,73633,73675,73703,73738,73793,73953,74146,,74679,74977
3100103,132,Sawtelle,3100,103,2,2,4,,2,50012,"50,210","50,487",50714,50919,51137,51404,51890,52150,52359,52459,52566,52619,52739,52832,52932,53023,53137,53233,53347,53461,53585,53711,53818,53906,54043,54178,54716,54855,54987,55096,55203,55209,55415,55510,55640,55740,55828,55910,55997,56154,56221,56307,56386,,56561,56651
3100201,,Sawtelle,3100,201,3,2,6,,2,80706,"80,914","81,137",81357,81566,81736,81992,82528,82837,83081,83198,83304,83356,83463,83571,83681,83797,83911,84013,84144,84243,84354,84459,84571,84666,84829,85015,85753,85939,86084,86186,86284,86385,86478,86576,86686,86784,86879,86979,87082,87285,87372,87480,87597,,87828,87964
3100202,,Sawtelle,3100,202,2,1,4,,2,49524,"49,866","50,386",50712,51075,51354,51675,52321,52667,52902,53009,53149,53206,53340,53545,53770,53958,54168,54234,54271,54358,54492,54622,54746,54969,55215,55301,56255,56502,56710,56842,56959,57058,57173,57301,57474,57584,57688,57811,57961,58242,58351,58528,58662,,59959,59121
3100203,,Sawtelle,3100,203,2,2,4,,2,52622,"52,762","52,884",52985,53108,53331,53591,54031,54168,54305,54368,54423,54452,54507,54567,54638,54695,54759,54811,54860,54910,54961,55018,55081,55133,55216,55300,55659,55764,55855,55918,55977,56018,56067,56119,56192,56255,56318,56378,56438,56530,56576,56639,56692,,56830,56900
3100204,,Sawtelle,3100,204,2,2,4,,2,70262,"70,739","71,405",71917,72388,72863,73408,74042,74247,74364,74427,74495,74527,74594,74667,74732,74800,74883,74917,74954,74992,75031,75106,75282,75423,75631,75826,76729,76897,77010,77042,77106,77165,77214,77286,77404,77502,77591,77669,77726,77807,77849,77898,77942,,78033,78081
3100205,,Sawtelle,3100,205,2,2,4,,2,52230,"52,531","52,742",52917,53063,53163,53240,53769,54231,54558,54693,54824,54893,55060,55254,55434,55598,55808,56005,56247,56488,56687,56876,57063,57196,57403,57616,58499,58703,58879,59006,59133,59285,59436,59601,59809,59996,60155,60319,60490,60760,60886,60978,61068,,61308,61447
3100206,100,Sawtelle,3100,206,2,1,4,,2,50470,"50,619","50,829",51024,51252,51466,51630,52014,52275,52471,52556,52655,52699,52802,52904,53095,53095,53202,53337,53510,53686,53887,54108,54253,54351,54505,54635,55171,55315,55446,55511,55580,55672,55744,55827,55943,56057,56153,56251,56354,56560,56643,56753,56831,,57975,57074
3100207,,Sawtelle,3100,207,2,1,4,,2,53412,"53,601","53,814",54145,54535,54860,55174,55811,56200,56451,56630,56812,56885,57024,57192,57332,57396,57443,57480,57697,57943,58184,58406,58622,58759,58964,59150,59943,60139,60336,60454,60598,60788,60965,61158,61416,61489,61734,61939,62128,62426,62541,63697,62816,,63062,63205
3100208,,Sawtelle,3100,208,2,2,4,,2,62597,"62,712","63,029",63252,63489,63707,63966,64473,64770,64970,65072,65170,65231,65331,65419,65524,65627,65749,65906,66052,66245,66456,66640,66788,66899,67074,67216,67791,67944,68101,68213,68298,68404,68492,68596,68705,68893,69015,69139,69271,69437,69529,69675,69772,,69968,70056
